,Vehicle,wikipedia_name,wikipedia_url,mission_type,mission_duration,orbits_completed,spacecraft,launch_mass,landing_mass,launch_rocket,launch_site,landing_date,landing_site,orbit_epoch,orbit_reference,orbit_regime,orbit_periapsis,orbit_apoapsis,orbit_inclination,orbit_period,apsis,crew_size,crew_members
0,Gemini IV,Gemini_4,https://en.wikipedia.org/wiki/Gemini_4," 
"," 4&nbsp;days, 1&nbsp;hour, 56&nbsp;minutes, 12&nbsp;seconds
"," 66 (62 revolutions)

"," [[Gemini (spacecraft)|Gemini]] SC4
"," {{convert|7880|lb|kg|disp=flip}}
","

"," {{nowrap|[[Titan II GLV]],}} {{nowrap|s/n 62-12559}}
"," [[Cape Canaveral Air Force Station|Cape Kennedy]] [[Cape Canaveral Air Force Station Launch Complex 19|LC-19]]

"," {{end-date|June 7, 1965, 17:12:11|timezone=yes}}&nbsp;UTC
"," North Atlantic Ocean<br/>{{coord|27|44|N|74|11|W}}
"," June 3, 1965 <ref name=satcat />
"," [[Geocentric orbit|Geocentric]]
"," [[Low Earth orbit]]
"," {{convert|165|km|nmi|sp=us}} 
"," {{convert|289|km|nmi|sp=us}} 
"," 32.5&nbsp;degrees
"," 89.03&nbsp;minutes
"," gee

"," 2
"," [[James McDivitt|James A. McDivitt]]<br/>[[Edward Higgins White|Edward H. White II]]
"
1,Gemini VIII,Gemini_8,https://en.wikipedia.org/wiki/Gemini_8," Docking test
"," 10&nbsp;hours, 41&nbsp;minutes, 26&nbsp;seconds
"," 6

"," [[Gemini (spacecraft)|Gemini]] SC8
"," {{convert|3789|kg|lb}}
","

"," {{nowrap|[[Titan II GLV]],}} {{nowrap|s/n 62-12563}}
"," [[Cape Canaveral Air Force Station|Cape Kennedy]] [[Cape Canaveral Air Force Station Launch Complex 19|LC-19]]

"," {{end-date|March 17, 1966, 03:22:28|timezone=yes}}&nbsp;UTC
"," {{coord|25|13.8|N|136|0|E}}
"," March 16, 1966<ref name=satcat>{{cite web|last=McDowell|first=Jonathan|title=SATCAT|url=http://planet4589.org/space/log/satcat.txt|publisher=Jonathan's Space Pages|accessdate=March 23, 2014}}</ref> 
"," [[Geocentric orbit|Geocentric]]
"," [[Low Earth orbit]]
"," {{convert|261|km|nmi|sp=us}} 
"," {{convert|270|km|nmi|sp=us}} 
"," 28.9&nbsp;degrees
"," 89.81&nbsp;minutes
"," gee

"," 2
"," [[Neil Armstrong|Neil A. Armstrong]]<br/>[[David Scott|David R. Scott]]
"
2,Gemini IX-A,Gemini_9A,https://en.wikipedia.org/wiki/Gemini_9A," 
"," 3&nbsp;days, 20&nbsp;minutes, 50&nbsp;seconds
"," 47

"," [[Gemini (spacecraft)|Gemini]] SC9
"," {{convert|8300|lb|kg|disp=flip}}
","

"," {{nowrap|[[Titan II GLV]],}} {{nowrap|s/n #62-12564}}
"," [[Cape Canaveral Air Force Station|Cape Kennedy]] [[Cape Canaveral Air Force Station Launch Complex 19|LC-19]]

"," {{end-date|June 6, 1966, 14:00:23|timezone=yes}}&nbsp;UTC
"," {{coord|27|52|N|75|0.4|W}}
"," June 6, 1966<ref name=satcat>{{cite web|last=McDowell|first=Jonathan|title=SATCAT|url=http://planet4589.org/space/log/satcat.txt|publisher=Jonathan's Space Pages|accessdate=March 24, 2014}}</ref> 
"," [[Geocentric orbit|Geocentric]]
"," [[Low Earth orbit]]
"," {{convert|272|km|nmi|sp=us}}
"," {{convert|274|km|nmi|sp=us}} 
"," 28.8&nbsp;degrees
"," 89.97&nbsp;minutes
"," gee

"," 2
"," [[Thomas P. Stafford]]<br/>[[Eugene Cernan|Eugene A. Cernan]]
"
3,Gemini X,Gemini_10,https://en.wikipedia.org/wiki/Gemini_10," 
"," 2&nbsp;days, 22&nbsp;hours, 46&nbsp;minutes, 39&nbsp;seconds
"," 43

"," [[Gemini (spacecraft)|Gemini]] SC10
"," {{convert|3762.6|kg|lb|disp=flip}}
"," {{convert|4254|lb|kg}}

"," {{nowrap|[[Titan II GLV]],}} {{nowrap|s/n #62-12565}}
"," [[Cape Canaveral Air Force Station|Cape Kennedy]] [[Cape Canaveral Air Force Station Launch Complex 19|LC-19]]

"," {{end-date|July 21, 1966, 21:07:05|timezone=yes}}&nbsp;UTC
"," {{coord|26|44.7|N|71|57|W|type:event|name=Gemini 10 splashdown}}
"," July 19, 1966<ref name=satcat>{{cite web|last=McDowell|first=Jonathan|title=SATCAT|url=http://planet4589.org/space/log/satcat.txt|publisher=Jonathan's Space Pages|accessdate=March 23, 2014}}</ref>
"," [[Geocentric orbit|Geocentric]]
"," [[Low Earth orbit]]
"," {{convert|299|km|nmi|sp=us|disp=flip}}
"," {{convert|756|km|nmi|sp=us|disp=flip}} 
"," 28.8&nbsp;degrees
"," 95.19&nbsp;minutes
"," gee

"," 2
"," [[John Young (astronaut)|John W. Young]]<br/>[[Michael Collins (astronaut)|Michael Collins]]
"
4,Gemini XI,Gemini_11,https://en.wikipedia.org/wiki/Gemini_11," 
"," 2&nbsp;days, 23&nbsp;hours, 17&nbsp;minutes, 9&nbsp;seconds
"," 44

"," [[Gemini (spacecraft)|Gemini]] SC11
"," {{convert|8374|lb|kg|disp=flip}}
"," {{convert|4230|lb|kg|disp=flip}}

"," {{nowrap|[[Titan II GLV]],}} <!--{{nowrap|s/n }}-->
"," [[Cape Canaveral Air Force Station|Cape Kennedy]] [[Cape Canaveral Air Force Station Launch Complex 19|LC-19]]

"," {{end-date|September 15, 1966, 13:59:35|timezone=yes}}&nbsp;UTC
"," {{Coord|24|15.4|N|70|0|W|type:event|name=Gemini 11 splashdown}}
"," September 14, 1966<ref name=satcat>{{cite web|last=McDowell|first=Jonathan|title=SATCAT|url=http://planet4589.org/space/log/satcat.txt|publisher=Jonathan's Space Pages|accessdate=March 23, 2014}}</ref>
"," [[Geocentric orbit|Geocentric]]
"," [[Low Earth orbit]]
"," {{convert|298|km|nmi|sp=us}}
"," {{convert|1368|km|nmi|sp=us}}
"," 28.8&nbsp;degrees
"," 101.57&nbsp;minutes
"," gee

"," 2
"," [[Pete Conrad|Charles ""Pete"" Conrad, Jr.]]<br/>[[Richard F. Gordon Jr.]]
"
5,Gemini XII,Gemini_12,https://en.wikipedia.org/wiki/Gemini_12," 
"," 3&nbsp;days, 22&nbsp;hours, 34&nbsp;minutes, 31&nbsp;seconds
"," 59

"," [[Gemini (spacecraft)|Gemini]] SC12
"," {{convert|3762.1|kg|lb}}
"," {{convert|4292.93|lb|kg|disp=flip}}

"," [[Titan II GLV]]
"," [[Cape Canaveral Air Force Station|Cape Kennedy]] [[Cape Canaveral Air Force Station Launch Complex 19|LC-19]]

"," {{end-date|November 15, 1966, 19:21:04|timezone=yes}}&nbsp;UTC
"," {{coord|24|35|N|69|57|W}}<ref name= ""mission""/>
"," November 14, 1966<ref name=satcat>{{cite web|last=McDowell|first=Jonathan|title=SATCAT|url=http://planet4589.org/space/log/satcat.txt|publisher=Jonathan's Space Pages|accessdate=March 23, 2014}}</ref>
"," [[Geocentric orbit|Geocentric]]
"," [[Low Earth orbit]]
"," {{convert|251|km|nmi|sp=us}}
"," {{convert|289|km|nmi|sp=us}}
"," 28.8&nbsp;degrees
"," 89.94&nbsp;minutes
"," gee

"," 2
"," [[Jim Lovell|James A. Lovell, Jr]]<br/>[[Buzz Aldrin|Edwin E. Aldrin, Jr]]
"
6,Apollo 9,Apollo_9,https://en.wikipedia.org/wiki/Apollo_9," Lunar Module test flight
"," 10&nbsp;days, 1&nbsp;hours, 54&nbsp;seconds
","

"," {{Unbulleted list
  |[[Apollo Command/Service Module|Apollo CSM]]-104
  |[[Apollo Lunar Module|Apollo LM]]-3
}}
"," {{convert|95231|lb|kg}}
"," {{convert|11094|lb|kg}}

"," [[Saturn V]] SA-504
"," [[Kennedy Space Center|Kennedy]] [[Kennedy Space Center Launch Complex 39|LC-39A]]

"," {{end-date|March 13, 1969, 17:00:54|timezone=yes}}&nbsp;UTC
"," North Atlantic Ocean<br />{{coord|23|15|N|67|56|W|type:event|name=Apollo 9 splashdown}}
"," March 5, 1969<ref name=satcat>{{cite web|last=McDowell|first=Jonathan|title=SATCAT|url=http://planet4589.org/space/log/satcat.txt|publisher=Jonathan's Space Pages|accessdate=March 23, 2014}}</ref>
"," [[geocentric orbit|Geocentric]]
"," [[Low Earth orbit]]
"," {{convert|204|km|mi|sp=us}}
"," {{convert|497|km|mi|sp=us}}
"," 33.8&nbsp;degrees
"," 91.55&nbsp;minutes
"," gee

"," 3
"," {{Unbulleted list
  |[[James McDivitt|James A. McDivitt]]
  |[[David Scott|David R. Scott]]
  |[[Rusty Schweickart|Russell L. Schweickart]]
}}
"
7,Skylab 2,Skylab_2,https://en.wikipedia.org/wiki/Skylab_2," 
"," 28&nbsp;days, 49&nbsp;minutes, 49&nbsp;seconds
"," 404
"," [[Apollo Command/Service Module|Apollo CSM]]-116
"," {{convert|19979|kg|lb}}
","

"," [[Saturn IB]] SA-206
"," [[Kennedy Space Center|Kennedy]] [[Kennedy Space Center Launch Complex 39|LC-39B]]

"," {{end-date|June 22, 1973, 13:49:48|timezone=yes}}&nbsp;UTC
"," {{coord|24|45|N|127|2|W|type:event}}
"," June 4, 1973<ref name=satcat>{{cite web|last=McDowell|first=Jonathan|title=SATCAT|url=http://planet4589.org/space/log/satcat.txt|publisher=Jonathan's Space Pages|accessdate=March 23, 2014}}</ref> 
"," [[geocentric orbit|Geocentric]]
"," [[low Earth orbit|Low Earth]]
"," {{convert|428|km|nmi|abbr=off|sp=us}} 
"," {{convert|438|km|nmi|abbr=off|sp=us}} 
"," 50.0&nbsp;degrees
"," 93.2&nbsp;minutes 
"," gee

"," 3
"," {{Unbulleted list
  |[[Pete Conrad|Charles Conrad, Jr.]]
  |[[Joseph Kerwin|Joseph P. Kerwin]]
  |[[Paul J. Weitz]]
}}
"
8,Skylab 3,Skylab_3,https://en.wikipedia.org/wiki/Skylab_3," 
"," 59&nbsp;days, 11&nbsp;hours, 09&nbsp;minutes, 01&nbsp;seconds
"," 858
"," [[Apollo Command/Service Module|Apollo CSM]]-117
"," {{convert|20121|kg|lb}}
","

"," [[Saturn IB]] SA-207
"," [[Kennedy Space Center|Kennedy]] [[Kennedy Space Center Launch Complex 39|LC-39B]]

"," {{end-date|September 25, 1973, 22:19:51|timezone=yes}}&nbsp;UTC 
"," {{coord|30|47|N|120|29|W|type:event}}
"," August 8, 1973<ref name=satcat>{{cite web|last=McDowell|first=Jonathan|title=SATCAT|url=http://planet4589.org/space/log/satcat.txt|publisher=Jonathan's Space Pages|accessdate=March 23, 2014}}</ref> 
"," [[geocentric orbit|Geocentric]]
"," [[low Earth orbit|Low Earth]]
"," {{convert|423|km|mi|sp=us}} 
"," {{convert|441|km|mi|sp=us}} 
"," 50.0&nbsp;degrees
"," 93.2&nbsp;minutes 
"," gee

"," 3
"," {{Unbulleted list
  |[[Alan Bean|Alan L. Bean]]
  |[[Owen Garriott|Owen K. Garriott]]
  |[[Jack R. Lousma]]
}}
"
9,Skylab 4,Skylab_4,https://en.wikipedia.org/wiki/Skylab_4," 
"," 84&nbsp;days, 1&nbsp;hour, 15&nbsp;minutes, 30&nbsp;seconds
"," 1214
"," [[Apollo Command/Service Module|Apollo CSM]]-118
"," {{convert|20847|kg|lb}}
","

"," [[Saturn IB]] SA-208
"," [[Kennedy Space Center|Kennedy]] [[Kennedy Space Center Launch Complex 39|LC-39B]]

"," {{end-date|February 8, 1974, 15:16:53|timezone=yes}}&nbsp;UTC 
"," {{coord|31|18|N|119|48|W|type:event}}
"," January 21, 1974<ref name=satcat>{{cite web|last=McDowell|first=Jonathan|title=SATCAT|url=http://planet4589.org/space/log/satcat.txt|publisher=Jonathan's Space Pages|accessdate=March 23, 2014}}</ref> 
"," [[geocentric orbit|Geocentric]]
"," [[low Earth orbit|Low Earth]]
"," {{convert|422|km|mi|sp=us}} 
"," {{convert|437|km|mi|sp=us}} 
"," 50.0&nbsp;degrees
"," 93.11&nbsp;minutes 
"," gee

"," 3
"," {{Unbulleted list
  |[[Gerald P. Carr]]
  |[[Edward Gibson|Edward G. Gibson]]
  |[[William R. Pogue]]
}}
"
10,STS-5,STS-5,https://en.wikipedia.org/wiki/STS-5," Satellite deployment
"," 5&nbsp;days, 2&nbsp;hours, 14&nbsp;minutes, 26&nbsp;seconds
"," 81
"," {{OV|102}}
"," {{convert|112088|kg}}
"," {{convert|91841|kg}}
",NaN," [[Kennedy Space Center|Kennedy]] [[Kennedy Space Center Launch Complex 39|LC-39A]]
"," {{end-date|16 November 1982, 14:33:26|timezone=yes}}&nbsp;UTC
"," [[Edwards Air Force Base|Edwards]] Runway&nbsp;22

"," 13 November 1982<ref>{{cite web|last=McDowell|first=Jonathan|title=SATCAT|url=http://planet4589.org/space/log/satcat.txt|publisher=Jonathan's Space Pages|accessdate=20 March 2014}}</ref>
"," [[geocentric orbit|Geocentric]]
"," [[Low Earth orbit|Low Earth]]
"," {{convert|294|km|sp=us}}
"," {{convert|317|km|sp=us}}
"," 28.5&nbsp;degrees

"," 90.5&nbsp;minutes
"," gee
"," 4
"," [[Vance D. Brand]]<br />[[Robert F. Overmyer]]<br />[[Joseph P. Allen]]<br />[[William B. Lenoir]]
"
11,STS-6,STS-6,https://en.wikipedia.org/wiki/STS-6," Satellite deployment
"," 5&nbsp;days, 23&nbsp;minutes, 42&nbsp;seconds
"," 81
"," {{OV|099}}
"," {{convert|116457|kg}}
"," {{convert|86330|kg}}
",NaN," [[Kennedy Space Center|Kennedy]] [[Kennedy Space Center Launch Complex 39|LC-39A]]
"," {{end-date|9 April 1983, 18:53:42|timezone=yes}}&nbsp;UTC
"," [[Edwards Air Force Base|Edwards]] Runway&nbsp;22
"," 6 April 1983<ref>{{cite web|last=McDowell|first=Jonathan|title=SATCAT|url=http://planet4589.org/space/log/satcat.txt|publisher=Jonathan's Space Pages|accessdate=20 March 2014}}</ref>
"," [[geocentric orbit|Geocentric]]
"," [[Low Earth orbit|Low Earth]]
"," {{convert|288|km|sp=us}}
"," {{convert|295|km|sp=us}}
"," 28.5 degrees

"," 90.4 minutes
"," gee
"," 4
"," [[Paul J. Weitz]]<br />[[Karol J. Bobko]]<br />[[Story Musgrave]]<br />[[Donald H. Peterson]]
"
12,STS-41B,STS-41-B,https://en.wikipedia.org/wiki/STS-41-B," Satellite deployment<br>Equipment testing
"," 7&nbsp;days, 23&nbsp;hours, 15&nbsp;minutes, 55&nbsp;seconds
"," 128
"," {{OV|099}}
"," {{convert|250452|lbs|kg|disp=flip}}
"," {{convert|201238|lbs|kg|disp=flip}}
",NaN," [[Kennedy Space Center|Kennedy]] [[Kennedy Space Center Launch Complex 39|LC-39A]]
"," {{end-date|February 11, 1984, 12:15:55|timezone=yes}}&nbsp;UTC
"," [[Kennedy Space Center|Kennedy]] [[Shuttle Landing Facility|SLF Runway&nbsp;15]]

"," February 5, 1984<ref name=satcat>{{cite web|last=McDowell|first=Jonathan|title=SATCAT|url=http://planet4589.org/space/log/satcat.txt|publisher=Jonathan's Space Pages|accessdate=March 23, 2014}}</ref>
"," [[geocentric orbit|Geocentric]]
"," [[Low Earth orbit|Low Earth]]
"," {{convert|166|nmi|km|disp=flip}}
"," {{convert|171|nmi|km|disp=flip}}
"," 28.5 degrees
"," 90.8 minutes

"," gee
"," 5
"," [[Vance D. Brand]]<br />[[Robert L. Gibson]]<br />[[Bruce McCandless II]]<br />[[Robert L. Stewart]]<br />[[Ronald E. McNair]]
"
13,STS-41C,STS-41-C,https://en.wikipedia.org/wiki/STS-41-C," Satellite deployment<br>Satellite repair
"," 6 days, 23 hours, 40 minutes, 7 seconds
"," 108
"," {{OV|099}}
"," {{convert|254254|lbs|kg|disp=flip}}
"," {{convert|196975|lbs|kg|disp=flip}}
",NaN," [[Kennedy Space Center|Kennedy]] [[Kennedy Space Center Launch Complex 39|LC-39A]]
"," {{end-date|April 13, 1984, 13:38:07|timezone=yes}}&nbsp;UTC
"," [[Edwards Air Force Base|Edwards]] Runway&nbsp;17

"," April 8, 1984<ref name=satcat>{{cite web|last=McDowell|first=Jonathan|title=SATCAT|url=http://planet4589.org/space/log/satcat.txt|publisher=Jonathan's Space Pages|accessdate=March 23, 2014}}</ref>
"," [[geocentric orbit|Geocentric]]
"," [[Low Earth orbit|Low Earth]]
"," {{convert|138|mi|km|disp=flip}}
"," {{convert|291|mi|km|disp=flip}}
"," 28.5 degrees
"," 91.4 min

"," gee
"," 5
"," [[Robert Crippen|Robert L. Crippen]]<br />[[Dick Scobee|Francis R. Scobee]]<br />[[Terry Hart|Terry J. Hart]]<br />[[James van Hoften|James D. A. van Hoften]]<br />[[George Nelson (astronaut)|George D. Nelson]]
"
14,STS-41G,STS-41-G,https://en.wikipedia.org/wiki/STS-41-G," Satellite deployment<br />Radar imaging
"," 8 days, 5 hours, 23 minutes, 33 seconds
"," 133
"," {{OV|099}}
"," {{convert|242780|lbs|kg|disp=flip}}
"," {{convert|202266|lbs|kg|disp=flip}}
",NaN," [[Kennedy Space Center|Kennedy]] [[Kennedy Space Center Launch Complex 39|LC-39A]]
"," {{end-date|13 October 1984, 16:26:33|timezone=yes}}&nbsp;UTC
"," [[Kennedy Space Center|Kennedy]] [[Shuttle Landing Facility|SLF Runway&nbsp;33]]

"," 7 October 1984<ref name=satcat>{{cite web|last=McDowell|first=Jonathan|title=SATCAT|url=http://planet4589.org/space/log/satcat.txt|publisher=Jonathan's Space Pages|accessdate=23 March 2014}}</ref>
"," [[geocentric orbit|Geocentric]]
"," [[Low Earth orbit|Low Earth]]
"," {{convert|218|mi|km|disp=flip}}
"," {{convert|243|mi|km|disp=flip}}
"," 57.0 degrees

"," 92.0 min
"," gee
"," 7
"," [[Robert L. Crippen]]<br />[[Jon A. McBride]]<br />[[Kathryn D. Sullivan]]<br />[[Sally Ride|Sally K. Ride]]<br />[[David C. Leestma]]<br />[[Paul D. Scully-Power]]<br />[[Marc Garneau]]
"
15,STS-51A,STS-51-A,https://en.wikipedia.org/wiki/STS-51-A," Satellite deployment <br> Satellite retrieval
"," 7 days, 23 hours, 44 minutes, 56 seconds
"," 127
"," {{OV|103}}
"," {{convert|263324|lbs|kg|disp=flip}}
"," {{convert|207505|lbs|kg|disp=flip}}
",NaN," [[Kennedy Space Center|Kennedy]] [[Kennedy Space Center Launch Complex 39|LC-39A]]
"," {{end-date|November 16, 1984, 11:59:56|timezone=yes}}&nbsp;UTC
"," [[Kennedy Space Center|Kennedy]] [[Shuttle Landing Facility|SLF Runway 15]]

"," November 10, 1984<ref name=satcat>{{cite web|last=McDowell|first=Jonathan|title=SATCAT|url=http://planet4589.org/space/log/satcat.txt|publisher=Jonathan's Space Pages|accessdate=March 23, 2014}}</ref>
"," [[geocentric orbit|Geocentric]]
"," [[Low Earth orbit|Low Earth]]
"," {{convert|179|nmi|km|disp=flip|sp=us}}
"," {{convert|191|nmi|km|disp=flip|sp=us}}
"," 28.4 degrees

"," 90.4 minutes
"," gee
"," 5
"," [[Frederick Hauck]]<br />[[David M. Walker (astronaut)|David M. Walker]]<br />[[Joseph P. Allen]]<br />[[Anna Lee Fisher]]<br />[[Dale Gardner]]
"
16,STS-51D,STS-51-A,https://en.wikipedia.org/wiki/STS-51-A," Satellite deployment <br> Satellite retrieval
"," 7 days, 23 hours, 44 minutes, 56 seconds
"," 127
"," {{OV|103}}
"," {{convert|263324|lbs|kg|disp=flip}}
"," {{convert|207505|lbs|kg|disp=flip}}
",NaN," [[Kennedy Space Center|Kennedy]] [[Kennedy Space Center Launch Complex 39|LC-39A]]
"," {{end-date|November 16, 1984, 11:59:56|timezone=yes}}&nbsp;UTC
"," [[Kennedy Space Center|Kennedy]] [[Shuttle Landing Facility|SLF Runway 15]]

"," November 10, 1984<ref name=satcat>{{cite web|last=McDowell|first=Jonathan|title=SATCAT|url=http://planet4589.org/space/log/satcat.txt|publisher=Jonathan's Space Pages|accessdate=March 23, 2014}}</ref>
"," [[geocentric orbit|Geocentric]]
"," [[Low Earth orbit|Low Earth]]
"," {{convert|179|nmi|km|disp=flip|sp=us}}
"," {{convert|191|nmi|km|disp=flip|sp=us}}
"," 28.4 degrees

"," 90.4 minutes
"," gee
"," 5
"," [[Frederick Hauck]]<br />[[David M. Walker (astronaut)|David M. Walker]]<br />[[Joseph P. Allen]]<br />[[Anna Lee Fisher]]<br />[[Dale Gardner]]
"
17,STS-51I,STS-51-I,https://en.wikipedia.org/wiki/STS-51-I," Satellite deployment <br> Satellite repair
"," 7 days, 2 hours, 17 minutes, 42 seconds
"," 112
"," {{OV|103}}
"," {{convert|262309|lbs|kg|disp=flip}}
"," {{convert|196674|lbs|kg|disp=flip}}
",NaN," [[Kennedy Space Center|Kennedy]] [[Kennedy Space Center Launch Complex 39|LC-39A]]
"," {{end-date|September 3, 1985, 13:15:43|timezone=yes}}&nbsp;UTC
"," [[Edwards Air Force Base|Edwards]] Runway&nbsp;23

"," 
"," [[geocentric orbit|Geocentric]]
"," [[Low Earth orbit|Low Earth]]
"," {{convert|220|mi|km|disp=flip}}
"," {{convert|289|mi|km|disp=flip}}
"," 28.45 degrees

"," 92 min
"," gee
"," 5
"," [[Joe H. Engle]]<br/>[[Richard O. Covey]]<br/>[[James D. A. van Hoften]]<br/>[[John M. Lounge]]<br/>[[William F. Fisher]]
"
18,STS-61B,STS-61-B,https://en.wikipedia.org/wiki/STS-61-B," Satellite deployment<br>Technology
"," 6 days, 21 hours, 4 minutes, 49 seconds
"," 109
"," {{OV|104}}
"," {{convert|118664|kg}}
"," {{convert|93316|kg}}
",NaN," [[Kennedy Space Center|Kennedy]] [[Kennedy Space Center Launch Complex 39|LC-39A]]
"," {{end-date|3 December 1985, 21:33:49|timezone=yes}}&nbsp;UTC
"," [[Edwards Air Force Base|Edwards]] Runway&nbsp;22

"," 
"," [[geocentric orbit|Geocentric]]
"," [[Low Earth orbit|Low Earth]]
"," {{convert|361|km}}
"," {{convert|370|km}}
"," 28.5 degrees

"," 91.9 min
"," gee
"," 7
"," [[Brewster H. Shaw, Jr.]]<br/>[[Bryan D. O'Connor]]<br/>[[Jerry L. Ross]]<br/>[[Mary L. Cleave]]<br/>[[Sherwood C. Spring]]<br/>[[Charles D. Walker]]<br/>[[Rodolfo Neri Vela]]
"
19,STS-31,STS-31,https://en.wikipedia.org/wiki/STS-31," Satellite deployment
"," 5&nbsp;days, 1&nbsp;hour, 16&nbsp;minutes, 6&nbsp;seconds
"," 80
"," {{OV|103}}
"," {{convert|117586|kg}}
"," {{convert|85947|kg}}
",NaN," [[Kennedy Space Center|Kennedy]] [[Kennedy Space Center Launch Complex 39|LC-39B]]
"," {{end-date|29 April 1990, 13:49:57|timezone=yes}}&nbsp;UTC
"," [[Edwards Air Force Base|Edwards]] Runway&nbsp;22

","
"," [[geocentric orbit|Geocentric]]
"," [[Low Earth orbit|Low Earth]]
"," {{convert|585|km}}
"," {{convert|615|km}}
"," 28.45 degrees

"," 96.7 minutes
"," gee
"," 5
"," [[Loren J. Shriver]]<br />[[Charles F. Bolden, Jr.]]<br />[[Bruce McCandless II]]<br />[[Steven A. Hawley]]<br />[[Kathryn D. Sullivan]]
"
20,STS-37,STS-37,https://en.wikipedia.org/wiki/STS-37," Satellite deployment
"," 5&nbsp;days, 23&nbsp;hours, 32&nbsp;minutes, 44&nbsp;seconds
"," 93
"," {{OV|104}}
"," 
"," {{convert|86651|kg}}
",NaN," [[Kennedy Space Center|Kennedy]] [[Kennedy Space Center Launch Complex 39|LC-39B]]
"," {{end-date|11 April 1991, 13:55:29|timezone=yes}}&nbsp;UTC
"," [[Edwards Air Force Base|Edwards]] Runway&nbsp;33

"," 
"," [[geocentric orbit|Geocentric]]
"," [[Low Earth orbit|Low Earth]]
"," {{convert|450|km}}
"," {{convert|462|km}}
"," 28.45 degrees

"," 93.7 minutes
"," gee
"," 5
"," [[Steven R. Nagel]]<br/>[[Kenneth D. Cameron]]<br/>[[Linda M. Godwin]]<br/>[[Jerry L. Ross]]<br/>[[Jay Apt]]
"
21,STS-49,STS-49,https://en.wikipedia.org/wiki/STS-49," Satellite repair
"," 8&nbsp;days, 21&nbsp;hours, 17&nbsp;minutes, 38&nbsp;seconds
"," 141
"," {{OV|105}}
"," 
"," {{convert|91214|kg}}
",NaN," [[Kennedy Space Center|Kennedy]] [[Kennedy Space Center Launch Complex 39|LC-39B]]
"," {{end-date|16 May 1992, 22:57:38|timezone=yes}}&nbsp;UTC
"," [[Edwards Air Force Base|Edwards]] Runway&nbsp;22

"," 
"," [[geocentric orbit|Geocentric]]
"," [[Low Earth orbit|Low Earth]]
"," {{convert|268|km}}
"," {{convert|341|km}}
"," 28.35 degrees

"," 90.6 min
"," gee
"," 7
"," [[Daniel C. Brandenstein]]<br/>[[Kevin P. Chilton]]<br/>[[Richard J. Hieb]]<br/>[[Bruce E. Melnick]]<br/>[[Pierre J. Thuot]]<br/>[[Kathryn C. Thornton]]<br/>[[Thomas D. Akers]]
"
22,STS-54,STS-54,https://en.wikipedia.org/wiki/STS-54," Satellite deployment<br/>Technology
"," 5&nbsp;days, 23&nbsp;hours, 38&nbsp;minutes, 19&nbsp;seconds
"," 96
"," {{OV|105}}
"," 
"," {{convert|92988|kg}}
",NaN," [[Kennedy Space Center|Kennedy]] [[Kennedy Space Center Launch Complex 39|LC-39B]]
"," {{end-date|19 January 1993, 13:37:47|timezone=yes}}&nbsp;UTC
"," [[Kennedy Space Center|Kennedy]] [[Shuttle Landing Facility|SLF Runway&nbsp;33]]

"," 
"," [[geocentric orbit|Geocentric]]
"," [[Low Earth orbit|Low Earth]]
"," {{convert|302|km}}
"," {{convert|309|km}}
"," 28.45 degrees

"," 90.6 min
"," gee
"," 5
"," [[John H. Casper]]<br/>[[Donald R. McMonagle]]<br/>[[Mario Runco, Jr.]]<br/>[[Gregory J. Harbaugh]]<br/>[[Susan Helms|Susan J. Helms]]
"
23,STS-57,STS-57,https://en.wikipedia.org/wiki/STS-57," Biosciences<br/>Satellite retrieval
"," 9&nbsp;days, 23&nbsp;hours, 44&nbsp;minutes, 54&nbsp;seconds
"," 155
"," {{OV|105}}
"," 
"," {{convert|101657|kg}}
",NaN," [[Kennedy Space Center|Kennedy]] [[Kennedy Space Center Launch Complex 39|LC-39B]]
"," {{end-date|1 July 1993, 12:52|timezone=yes}}&nbsp;UTC
"," [[Kennedy Space Center|Kennedy]] [[Shuttle Landing Facility|SLF Runway&nbsp;33]]

"," 
"," [[geocentric orbit|Geocentric]]
"," [[Low Earth orbit|Low Earth]]
"," {{convert|402|km}}
"," {{convert|471|km}}
"," 28.45 degrees

"," 93.3 min
"," gee
"," 6
"," [[Ronald J. Grabe]]<br/>[[Brian Duffy (astronaut)|Brian Duffy]]<br/>[[G. David Low]]<br/>[[Nancy J. Currie|Nancy J. Sherlock]]<br/>[[Peter J. Wisoff]]<br/>[[Janice E. Voss]]
"
